BNA,Nashville International Airport,Nashville,TN,United States
BOI,Boise Airport,Boise,ID,United States
BOS,Boston Logan International Airport,Boston,MA,United States
BPK,Baxter County Regional Airport,Mountain Home,AR,United States
BPT,Southeast Texas Regional Airport,Beaumont / Port Arthur,TX,United States
BQK,Brunswick Golden Isles Airport,Brunswick,GA,United States
BQN,Aguadilla Airport,Aguadilla,PR,United States
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,United States
BRL,Southeast Iowa Regional Airport,Burlington,IA,United States
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,United States
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,United States
BTI,Barter Island LRRS Airport,Kaktovik,AK,United States
BTL,W K Kellogg Airport,Battle Creek,MI,United States
BTM,Bert Mooney Airport,Butte,MT,United States
BTR,Baton Rouge International Airport,Baton Rouge,LA,United States
BTV,Burlington International Airport,South Burlington,VT,United States
BUF,Buffalo Niagara International Airport,Buffalo,NY,United States
BUR,Burbank Bob Hope Airport,Burbank,CA,United States
BVK,Buckland Airport,Buckland,AK,United States
BWG,Bowling Green-Warren County Regional Airport,Bowling Green,KY,United States
BWI,Baltimore / Washington International Airport,BWI Airport,MD,United States
BZN,Bozeman Gallatin Field Airport,Bozeman,MT,United States
CAE,Columbia Metropolitan Airport,Columbia,SC,United States
CAK,Akron-Canton Airport,North Canton,OH,United States
CCR,Buchanan Field Airport,Concord,CA,United States
CDB,Cold Bay Airport,Cold Bay,AK,United States
CDC,Cedar City Regional Airport,Cedar City,UT,United States
CDV,Cordova Municipal Airport,Cordova,AK,United States
CDW,Essex County Airport,Caldwell,NJ,United States
CEC,Jack Mc Namara Field Airport,Crescent City,CA,United States
CEF,Westover Metropolitan Airport,Springfield/Chicopee,MA,United States
CEZ,Cortez Municipal Airport,Cortez,CO,United States
CFK,Chefornak Airport,Chefornak,AK,United States
CGA,Craig Airport,Craig,AK,United States
CGF,Cuyahoga County Airport,Cleveland,OH,United States
CGI,Cape Girardeau Regional Airport,Cape Girardeau,MO,United States
CGX,Merrill C Meigs Field,Chicago,IL,United States
CHA,Chattanooga Metropolitan Airport,Chattanooga,TN,United States
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,United States
CHS,Charleston International Airport,Charleston,SC,United States
CIC,Chico Municipal Airport,Chico,CA,United States
CID,Cedar Rapids Eastern Iowa Airport,Cedar Rapids,IA,United States
CIU,Chippewa County International Airport,Sault Ste Marie,MI,United States
CKB,Harrison/Marion Regional Airport,Clarksburg,WV,United States
CLE,Cleveland Hopkins International Airport,Cleveland,OH,United States
CLL,Easterwood Airport,College Station,TX,United States
CLM,William R Fairchild International Airport,Port Angeles,WA,United States
CLT,Charlotte/Douglas International Airport,Charlotte,NC,United States
CMH,Port Columbus International Airport,Columbus,OH,United States
CMI,Champaign Willard Airport,Champaign,IL,United States
CMX,Houghton County Memorial Airport,Hancock,MI,United States
CNM,Cavern City Air Terminal,Carlsbad,NM,United States
CNY,Canyonlands Field,Moab,UT,United States
COD,Yellowstone Regional Airport,Cody,WY,United States
COE,Coeur D'alene Airport,Coeur D'alene,ID,United States
COS,Colorado Springs Airport,Colorado Springs,CO,United States
COU,Columbia Regional Airport,Columbia,MO,United States
CPR,Natrona County International Airport,Casper,WY,United States
CPX,Culebra Airport,Isla De Culebra,PR,United States
CRP,Corpus Christi International Airport,Corpus Christi,TX,United States
CRQ,Mc Clellan-Palomar Airport,Carlsbad,CA,United States
CRW,Charleston Yeager Airport,Charleston,WV,United States
CSG,Columbus Metropolitan Airport,Columbus,GA,United States
CVG,Cincinnati / Northern Kentucky International Airport,Cincinnati,OH,United States
CVO,Corvallis Municipal Airport,Corvallis,OR,United States
CVX,Charlevoix Municipal Airport,Charlevoix,MI,United States
CWA,Central Wisconsin Airport,Mosinee,WI,United States
CWI,Clinton Municipal Airport,Clinton,IA,United States
CYS,Cheyenne Regional Airport,Cheyenne,WY,United States
D76,Robert (Bob) Curtis Memorial Airport,Noorvik,AK,United States
DAB,Daytona Beach International Airport,Daytona Beach,FL,United States
DAL,Dallas Love Field,Dallas,TX,United States
DAN,Danville Regional Airport,Danville,VA,United States
DAY,Dayton International Airport,Dayton,OH,United States
DBQ,Dubuque Regional Airport,Dubuque,IA,United States
DCA,Ronald Reagan Washington National Airport,Washington,DC,United States
DDC,Dodge City Regional Airport,Dodge City,KS,United States
DDH,William H. Morse State Airport,Bennington,VT,United States
DEC,Decatur Airport,Decatur,IL,United States
DEN,Denver International Airport,Denver,CO,United States
DET,Detroit City Airport,Detroit,MI,United States
DFW,Dallas/Fort Worth International Airport,Dallas,TX,United States
DHN,Dothan Regional Airport,Dothan,AL,United States
DIK,Dickinson - Theodore Roosevelt Regional Airport,Dickinson,ND,United States
DLG,Dillingham Airport,Dillingham,AK,United States
DLH,Duluth International Airport,Duluth,MN,United States
DNV,Vermilion County Airport,Danville,IL,United States
DRO,Durango-La Plata County Airport,Durango,CO,United States
DRT,Del Rio International Airport,Del Rio,TX,United States
DSM,Des Moines International Airport,Des Moines,IA,United States
DTW,Detroit Metro Airport,Detroit,MI,United States
DUJ,Du Bois-Jefferson County Airport,Du Bois,PA,United States
DUT,Unalaska Airport,Unalaska,AK,United States
DUY,Kongiganak Airport,Kongiganak,AK,United States
DVL,Devils Lake Municipal Airport,Devils Lake,ND,United States
DVT,Deer Valley Municipal Airport,Phoenix,AZ,United States
DXR,Danbury Municipal Airport,Danbury,CT,United States
EAR,Kearney Municipal Airport,Kearney,NE,United States
EAT,Pangborn Memorial Airport,Wenatchee,WA,United States
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,United States
EEK,Eek Airport,Eek,AK,United States
EEN,Keene/Dillant-Hopkins Airport,Keene,NH,United States
EFD,Ellington Field,Houston,TX,United States
EFK,Newport State Airport,Newport,VT,United States
EGE,Eagle County Regional Airport,Eagle,CO,United States
EKM,Elkhart Municipal Airport,Elkhart,IN,United States
EKO,Elko Regional Airport,Elko,NV,United States
ELI,Elim Airport,Elim,AK,United States
ELM,Elmira / Corning Regional Airport,Elmira / Corning,NY,United States
ELO,Ely Municipal Airport,Ely,MN,United States
ELP,El Paso International Airport,El Paso,TX,United States
ELY,Ely Airport,Ely,NV,United States
ENA,Kenai Municipal Airport,Kenai,AK,United States
ENM,Emmonak Airport,Emmonak,AK,United States
ENW,Kenosha Regional Airport,Kenosha,WI,United States
ERI,Erie International Airport,Erie,PA,United States
ESC,Delta County Airport,Escanaba,MI,United States
ESF,Esler Regional Airport,Alexandria,LA,United States
EUG,Eugene Airport,Eugene,OR,United States
EVV,Evansville Regional Airport,Evansville,IN,United States
EWB,New Bedford Regional Airport,New Bedford,MA,United States
EWN,Craven County Regional Airport,New Bern,NC,United States
EWR,Newark Liberty International Airport,Newark,NJ,United States
EWU,Newtok Airport,Newtok,AK,United States
EYW,Key West International Airport,Key West,FL,United States
FAI,Fairbanks International Airport,Fairbanks,AK,United States
FAQ,Fitiuta Airport,Fitiuta,AS,United States
FAR,Hector International Airport,Fargo,ND,United States
FAT,Fresno Air Terminal,Fresno,CA,United States
FAY,Fayetteville Regional/Grannis Field Airport,Fayetteville,NC,United States
FHR,Friday Harbor Airport,Friday Harbor,WA,United States
FHU,Sierra Vista Municipal Airport,Fort Huachuca / Sierra Vista,AZ,United States
FKL,Venango Regional Airport,Franklin,PA,United States
